State,County,Female life expectancy (years),Male life expectancy (years)
Alabama,Autauga County,78.78,73.34
Alabama,Baldwin County,80.29,74.97
Alabama,Barbour County,77.18,72.17
Alabama,Bibb County,76.77,71.54
Alabama,Blount County,78.62,73.14
Alabama,Bullock County,76.39,67.19
Alabama,Butler County,78.08,69.38
Alabama,Calhoun County,75.8,70.8
Alabama,Chambers County,76.37,70.12
Alabama,Cherokee County,77.07,72.23
Alabama,Chilton County,76.94,70.82
Alabama,Choctaw County,78.6,71.5
Alabama,Clarke County,77.35,72.29
Alabama,Clay County,76.6,71.69
Alabama,Cleburne County,76.6,71.69
Alabama,Coffee County,78.36,74.05
Alabama,Colbert County,77.85,70.36
Alabama,Conecuh County,78.08,69.38
Alabama,Coosa County,76.94,70.82
Alabama,Covington County,77.49,72.18
Alabama,Crenshaw County,76.39,70.17
Alabama,Cullman County,77.74,72.33
Alabama,Dale County,77.98,73.45
Alabama,Dallas County,75.44,68.57
Alabama,DeKalb County,77.32,72.14
Alabama,Elmore County,78.4,72.9
Alabama,Escambia County,77.73,71.05
Alabama,Etowah County,75.33,70.33
Alabama,Fayette County,75.82,70.44
Alabama,Franklin County,74.92,70.69
Alabama,Geneva County,78.06,72.17
Alabama,Greene County,77.86,70.02
Alabama,Hale County,76.8,68.06
Alabama,Henry County,78.53,71.87
Alabama,Houston County,79.12,73.29
Alabama,Jackson County,76.26,70.71
Alabama,Jefferson County,77.47,72
Alabama,Lamar County,77.22,71.81
Alabama,Lauderdale County,78.82,72.83
Alabama,Lawrence County,77.45,70.39
Alabama,Lee County,78.75,76.34
Alabama,Limestone County,79.5,74.59
Alabama,Lowndes County,76.39,70.17
Alabama,Macon County,76.39,67.19
Alabama,Madison County,79.51,75.13
Alabama,Marengo County,77.11,70.07
Alabama,Marion County,76.41,70.35
Alabama,Marshall County,76.59,71.5
Alabama,Mobile County,77.81,71.72
Alabama,Monroe County,77.72,70.78
Alabama,Montgomery County,77.98,73.35
Alabama,Morgan County,77.85,72.89
Alabama,Perry County,76.8,68.06
Alabama,Pickens County,76.45,71.58
Alabama,Pike County,77.32,71.5
Alabama,Randolph County,77.54,70.73
Alabama,Russell County,76.1,68.76
Alabama,St. Clair County,78.5,72.34
Alabama,Shelby County,80.99,77.25
Alabama,Sumter County,77.86,70.02
Alabama,Talladega County,76.14,70.52
Alabama,Tallapoosa County,78.5,72.56
Alabama,Tuscaloosa County,77.89,72.36
Alabama,Walker County,75.05,68.2
Alabama,Washington County,77.79,71.51
Alabama,Wilcox County,77.11,70.07
Alabama,Winston County,76.83,70.19
Alaska,Aleutians East Borough,80.06,75.8
Alaska,Aleutians West Census Area,80.06,75.8
Alaska,Anchorage Municipality,80.06,75.8
Alaska,Bethel Census Area,80.06,75.8
Alaska,Bristol Bay Borough,80.06,75.8
ALASKA,DENALI,80.06,75.8
Alaska,Dillingham Census Area,80.06,75.8
Alaska,Fairbanks North Star Borough,80.06,75.8
Alaska,Haines Borough,80.06,75.8
Alaska,Juneau City and Borough,80.06,75.8
Alaska,Kenai Peninsula Borough,80.06,75.8
ALASKA,KETCHIKAN GATEWAY,80.06,75.8
Alaska,Kodiak Island Borough,80.06,75.8
Alaska,Lake and Peninsula Borough,80.06,75.8
Alaska,Matanuska-Susitna Borough,80.06,75.8
Alaska,Nome Census Area,80.06,75.8
Alaska,North Slope Borough,80.06,75.8
Alaska,Northwest Arctic Borough,80.06,75.8
ALASKA,PRINCE OF WALES-OUTE,80.06,75.8
Alaska,Sitka City and Borough,80.06,75.8
Alaska,Hoonah-Angoon Census Area,80.06,75.8
Alaska,Southeast Fairbanks Census Area,80.06,75.8
Alaska,Valdez-Cordova Census Area,80.06,75.8
Alaska,Wade Hampton Census Area,80.06,75.8
Alaska,Ketchikan Gateway Borough,80.06,75.8
Alaska,Yakutat City and Borough,80.06,75.8
ALASKA,YUKON-KOYUKUK,80.06,75.8
Alaska,Denali,80.06,75.8
Arizona,Apache County,77.54,68.5
Arizona,Cochise County,80.53,75.39
Arizona,Coconino County,81.81,75.68
Arizona,Gila County,79.66,72.15
Arizona,Graham County,79.31,74.19
Arizona,Greenlee County,79.31,74.19
Arizona,La Paz County,82.2,77.6
Arizona,Maricopa County,82.23,77.57
Arizona,Mohave County,78.71,72.68
Arizona,Navajo County,78.5,72.05
Arizona,Pima County,81.26,76.47
Arizona,Pinal County,82.42,78.1
Arizona,Santa Cruz County,82.32,76.36
Arizona,Yavapai County,81.64,75.73
Arizona,Yuma County,82.2,77.6
Arkansas,Arkansas County,77.51,71.9
Arkansas,Ashley County,77.65,72.06
Arkansas,Baxter County,79.73,73.32
Arkansas,Benton County,81.11,76.71
Arkansas,Boone County,79.29,74.25
Arkansas,Bradley County,77.19,72.73
Arkansas,Calhoun County,77.45,71.66
Arkansas,Carroll County,79.72,74.71
Arkansas,Chicot County,76.41,69.79
Arkansas,Clark County,79.05,72
Arkansas,Clay County,77.74,72.15
Arkansas,Cleburne County,80.36,74.16
Arkansas,Cleveland County,77.19,72.73
Arkansas,Columbia County,78.56,71.12
Arkansas,Conway County,78.49,72.5
Arkansas,Craighead County,78.61,72.66
Arkansas,Crawford County,78.44,72.1
Arkansas,Crittenden County,75.42,68.09
Arkansas,Cross County,78.23,71.64
Arkansas,Dallas County,77.45,71.66
Arkansas,Desha County,76.41,69.79
Arkansas,Drew County,77.99,72.87
Arkansas,Faulkner County,79.73,74.39
Arkansas,Franklin County,79.09,72.92
Arkansas,Fulton County,78.31,72.7
Arkansas,Garland County,78.46,72.24
Arkansas,Grant County,78.94,73.57
Arkansas,Greene County,77.25,72.62
Arkansas,Hempstead County,77.69,72.13
Arkansas,Hot Spring County,78.65,71.84
Arkansas,Howard County,76.5,71.37
Arkansas,Independence County,77.98,72.62
Arkansas,Izard County,78.31,72.7
Arkansas,Jackson County,75.66,71.64
Arkansas,Jefferson County,77.1,71.56
Arkansas,Johnson County,77.65,73.32
Arkansas,Lafayette County,76.98,70.31
Arkansas,Lawrence County,77.17,72.03
Arkansas,Lee County,76.45,69.35
Arkansas,Lincoln County,77.99,72.87
Arkansas,Little River County,76.5,71.37
Arkansas,Logan County,77.85,71.25
Arkansas,Lonoke County,78.74,73.14
Arkansas,Madison County,79.13,72.79
Arkansas,Marion County,79.08,73.46
Arkansas,Miller County,77.29,71.94
Arkansas,Mississippi County,73.85,67.98
Arkansas,Monroe County,76.45,69.35
Arkansas,Montgomery County,78.43,72.9
Arkansas,Nevada County,76.98,70.31
Arkansas,Newton County,79.47,74.48
Arkansas,Ouachita County,76.21,70.46
Arkansas,Perry County,78.49,72.5
Arkansas,Phillips County,74.44,67.36
Arkansas,Pike County,78.63,72.7
Arkansas,Poinsett County,74.96,68.26
Arkansas,Polk County,78.63,72.7
Arkansas,Pope County,79.02,74.07
Arkansas,Prairie County,77.63,71.03
Arkansas,Pulaski County,78.72,73.33
Arkansas,Randolph County,78.53,72.85
Arkansas,St. Francis County,75.99,70.84
Arkansas,Saline County,80.36,75.16
Arkansas,Scott County,78.43,72.9
Arkansas,Searcy County,79.47,74.48
Arkansas,Sebastian County,78.78,73.07
Arkansas,Sevier County,77.32,72.12
Arkansas,Sharp County,78.91,73.25
Arkansas,Stone County,79.58,74.1
Arkansas,Union County,76.01,69.84
Arkansas,Van Buren County,79.58,74.1
Arkansas,Washington County,80.32,75.38
Arkansas,White County,78.63,73.43
Arkansas,Woodruff County,77.63,71.03
Arkansas,Yell County,79,72.5
California,Alameda County,83.1,79.19
California,Alpine County,81.28,78.1
California,Amador County,80.03,77.21
California,Butte County,79.11,75.16
California,Calaveras County,81.59,77.33
California,Colusa County,80.31,78.05
California,Contra Costa County,82.88,78.98
California,Del Norte County,77.66,74.08
California,El Dorado County,82.68,78.83
California,Fresno County,80.87,76.19
California,Glenn County,79.91,75.1
California,Humboldt County,79.22,74.52
California,Imperial County,82.9,77.24
California,Inyo County,81.24,76.04
California,Kern County,79.53,75.29
California,Kings County,79.54,77.59
California,Lake County,78,73.32
California,Lassen County,78.84,75.32
California,Los Angeles County,83.04,78.37
California,Madera County,81.18,76.09
California,Marin County,85.02,81.44
California,Mariposa County,80.58,77.38
California,Mendocino County,79.48,75.43
California,Merced County,80.41,76.74
California,Modoc County,78.84,75.32
California,Mono County,81.28,78.1
California,Monterey County,83.29,79.17
California,Napa County,82.52,78.14
California,Nevada County,83.24,79.33
California,Orange County,83.82,80.05
California,Placer County,83.21,78.9
California,Plumas County,80.01,76.71
California,Riverside County,82.03,77.75
California,Sacramento County,81.01,76.66
California,San Benito County,82.23,78.54
California,San Bernardino County,80.42,76.1
California,San Diego County,82.89,78.95
California,San Francisco County,84.38,78.84
California,San Joaquin County,80.47,75.76
California,San Luis Obispo County,82.4,78.86
California,San Mateo County,84.3,80.34
California,Santa Barbara County,83.65,78.73
California,Santa Clara County,84.54,80.98
California,Santa Cruz County,83.04,78.8
California,Shasta County,79.03,73.99
California,Sierra County,80.01,76.71
California,Siskiyou County,79.23,73.99
California,Solano County,80.85,77.03
California,Sonoma County,81.97,78.52
California,Stanislaus County,80.48,75.95
California,Sutter County,79.77,76.69
California,Tehama County,79.48,74.83
California,Trinity County,79.23,73.99
California,Tulare County,80.34,75.58
California,Tuolumne County,81.28,78.1
California,Ventura County,82.87,79.4
California,Yolo County,82.06,77.96
California,Yuba County,78.52,74.16
COLORADO,ADAMS,82.01,78.24
Colorado,Alamosa County,80.4,74.52
Colorado,Arapahoe County,82.12,78.43
Colorado,Archuleta County,81.35,77.02
Colorado,Baca County,78.99,73.43
Colorado,Bent County,78.99,73.43
COLORADO,BOULDER,82.01,78.24
Colorado,Adams County,82.01,78.24
Colorado,Chaffee County,82.15,77.69
Colorado,Cheyenne County,79.48,74.68
Colorado,Clear Creek County,83.29,79.6
Colorado,Conejos County,81.35,77.02
Colorado,Costilla County,80.4,74.52
Colorado,Crowley County,79.28,74.54
Colorado,Custer County,79.87,75.88
Colorado,Delta County,81.08,75.82
Colorado,Denver County,80.48,75.12
Colorado,Dolores County,80.34,76.79
Colorado,Douglas County,84.17,81.41
Colorado,Eagle County,83.39,81.01
Colorado,Elbert County,81.85,77.72
Colorado,El Paso County,81.49,77.64
Colorado,Fremont County,79.87,75.88
Colorado,Garfield County,82.93,77.61
Colorado,Gilpin County,81.55,76.95
Colorado,Grand County,83.29,79.6
Colorado,Gunnison County,84.33,81.65
Colorado,Hinsdale County,80.41,77.03
Colorado,Huerfano County,80.4,74.52
Colorado,Jackson County,83.27,79.15
COLORADO,JEFFERSON,82.01,78.24
Colorado,Kiowa County,79.48,74.68
Colorado,Kit Carson County,80.82,76.19
Colorado,Lake County,81.73,77.42
Colorado,La Plata County,83.04,78.96
Colorado,Larimer County,82.7,79.35
Colorado,Las Animas County,78.81,75.54
Colorado,Lincoln County,79.48,74.68
Colorado,Logan County,81.2,76.73
Colorado,Mesa County,81,76.09
Colorado,Mineral County,80.41,77.03
Colorado,Moffat County,80.57,76.29
Colorado,Montezuma County,80.34,76.79
Colorado,Montrose County,80.99,75.99
Colorado,Morgan County,79.94,76.48
Colorado,Otero County,79.48,74.68
Colorado,Ouray County,80.41,77.03
Colorado,Park County,81.73,77.42
Colorado,Phillips County,81.2,76.73
Colorado,Pitkin County,84.33,81.65
Colorado,Prowers County,78.99,73.43
Colorado,Pueblo County,79.28,74.54
Colorado,Rio Blanco County,80.57,76.29
Colorado,Rio Grande County,80.41,77.03
Colorado,Routt County,83.27,79.15
Colorado,Saguache County,79.87,75.88
Colorado,San Juan County,80.34,76.79
Colorado,San Miguel County,80.34,76.79
Colorado,Sedgwick County,81.2,76.73
Colorado,Summit County,83.43,80.09
Colorado,Teller County,82.5,77.7
Colorado,Washington County,79.94,76.48
COLORADO,WELD,82.01,78.24
Colorado,Yuma County,80.82,76.19
Connecticut,Fairfield County,83.75,79.47
Connecticut,Hartford County,82.32,77.56
Connecticut,Litchfield County,82.38,78.21
Connecticut,Middlesex County,82.66,78.34
Connecticut,New Haven County,81.97,77.43
Connecticut,New London County,81.61,78.13
Connecticut,Tolland County,81.57,79.48
Connecticut,Windham County,80.92,76.58
Delaware,Kent County,79.63,73.8
Delaware,New Castle County,80.47,75.92
Delaware,Sussex County,80.61,75.68
District of Columbia,District of Columbia,79.14,73.68
Florida,Alachua County,80.69,75.46
Florida,Baker County,77.26,68.8
Florida,Bay County,78.75,73.47
Florida,Bradford County,76.95,72.69
Florida,Brevard County,81.03,75.4
Florida,Broward County,81.93,77.05
Florida,Calhoun County,77.39,74.23
Florida,Charlotte County,82.59,75.91
Florida,Citrus County,80.02,72.9
Florida,Clay County,80.18,75.28
Florida,Collier County,84.62,80.08
Florida,Columbia County,77.7,72.56
Florida,DeSoto County,79.33,76.82
Florida,Dixie County,77.61,73.35
Florida,Duval County,78.68,73.79
Florida,Escambia County,78.38,73.16
Florida,Flagler County,81.35,76.59
Florida,Franklin County,77.9,74.27
Florida,Gadsden County,77.49,71.48
Florida,Gilchrist County,77.61,73.35
Florida,Glades County,79.33,76.82
Florida,Gulf County,77.39,74.23
Florida,Hamilton County,76.78,73.81
Florida,Hardee County,78.29,74.97
Florida,Hendry County,78.03,73.43
Florida,Hernando County,80.03,73.66
Florida,Highlands County,80.27,75.46
Florida,Hillsborough County,80.51,75.55
Florida,Holmes County,76.43,71.05
Florida,Indian River County,82.83,76.46
Florida,Jackson County,77.99,73.63
Florida,Jefferson County,77.93,73.67
Florida,Lafayette County,78.57,72.74
Florida,Lake County,81.34,75.78
Florida,Lee County,83.15,77.96
Florida,Leon County,80.84,76.58
Florida,Levy County,78.19,72.41
Florida,Liberty County,77.9,74.27
Florida,Madison County,76.78,73.81
Florida,Manatee County,82.25,76.68
Florida,Marion County,80.29,74.26
Florida,Martin County,83.23,78.2
Florida,Miami-Dade County,83.45,77.49
Florida,Monroe County,82.29,74.69
Florida,Nassau County,79.56,75.18
Florida,Okaloosa County,80.01,75.32
Florida,Okeechobee County,77.3,73.58
Florida,Orange County,81.51,76.71
Florida,Osceola County,81.39,76.91
Florida,Palm Beach County,83.49,78.14
Florida,Pasco County,80.26,74.33
Florida,Pinellas County,80.54,74.71
Florida,Polk County,80.79,75.38
Florida,Putnam County,77.82,70.97
Florida,St. Johns County,82.62,78.18
Florida,St. Lucie County,81.62,76.43
Florida,Santa Rosa County,80.29,75.17
Florida,Sarasota County,83.42,77.49
Florida,Seminole County,81.88,77.13
Florida,Sumter County,82.52,78.33
Florida,Suwannee County,78.57,72.74
Florida,Taylor County,77.93,73.67
Florida,Union County,77.26,68.8
Florida,Volusia County,80.47,73.72
Florida,Wakulla County,78.97,75.02
Florida,Walton County,79.46,73.96
Florida,Washington County,77.24,71.74
Georgia,Appling County,76.07,70.4
Georgia,Atkinson County,75.62,70.58
Georgia,Bacon County,77.19,69.83
Georgia,Baker County,76.3,72.92
Georgia,Baldwin County,78.76,73.04
Georgia,Banks County,79.49,73.32
Georgia,Barrow County,79.1,73.17
Georgia,Bartow County,78.07,73.01
Georgia,Ben Hill County,77.1,72.07
Georgia,Berrien County,76.18,73.06
Georgia,Bibb County,76.86,69.62
Georgia,Bleckley County,76.01,71.53
Georgia,Brantley County,78.43,71.11
Georgia,Brooks County,78.04,72.94
Georgia,Bryan County,78.76,72.96
Georgia,Bulloch County,78.42,73.68
Georgia,Burke County,77.02,70.62
Georgia,Butts County,76.01,70.77
Georgia,Calhoun County,76.92,71.86
Georgia,Camden County,79.14,75.45
Georgia,Candler County,76.26,71.32
Georgia,Carroll County,77.43,73.01
Georgia,Catoosa County,80.63,74.89
Georgia,Charlton County,78.43,71.11
Georgia,Chatham County,79.37,74.1
Georgia,Chattahoochee County,77.84,72.81
Georgia,Chattooga County,76.35,70.93
Georgia,Cherokee County,81.03,77.17
Georgia,Clarke County,80.49,75.25
Georgia,Clay County,76.96,69.97
Georgia,Clayton County,78.23,74.35
Georgia,Clinch County,77.7,72.12
Georgia,Cobb County,81.51,77.68
Georgia,Coffee County,77.56,72.34
Georgia,Colquitt County,77.9,72.77
Georgia,Columbia County,80.46,76.37
Georgia,Cook County,75.31,70.85
Georgia,Coweta County,80.58,75.75
Georgia,Crawford County,78.92,72.92
Georgia,Crisp County,77.48,71.52
Georgia,Dade County,77.49,72.16
Georgia,Dawson County,79.7,76.06
Georgia,Decatur County,76.41,71
Georgia,DeKalb County,80.94,76.05
Georgia,Dodge County,76.81,71.75
Georgia,Dooly County,77.53,72.62
Georgia,Dougherty County,78.51,72.54
Georgia,Douglas County,78.37,75
Georgia,Early County,76.96,69.97
Georgia,Echols County,77.7,72.12
Georgia,Effingham County,78.4,74.66
Georgia,Elbert County,78.56,73.29
Georgia,Emanuel County,75.89,70.27
Georgia,Evans County,76.26,71.32
Georgia,Fannin County,78.83,75.43
Georgia,Fayette County,81.58,79.03
Georgia,Floyd County,76.7,73.42
Georgia,Forsyth County,82.59,79.16
Georgia,Franklin County,78.06,71.53
Georgia,Fulton County,79.59,74.79
Georgia,Gilmer County,79.89,74.46
Georgia,Glascock County,76.53,71.6
Georgia,Glynn County,79.13,72.71
Georgia,Gordon County,77.37,72.71
Georgia,Grady County,78.51,73.3
Georgia,Greene County,79.26,74.8
Georgia,Gwinnett County,82.11,78.23
Georgia,Habersham County,80.17,75.33
Georgia,Hall County,81.06,76.4
Georgia,Hancock County,76.53,71.6
Georgia,Haralson County,74.89,70.8
Georgia,Harris County,80.96,75.21
Georgia,Hart County,78.75,73.66
Georgia,Heard County,77.34,72.66
Georgia,Henry County,79.08,74.88
Georgia,Houston County,79.62,74.54
Georgia,Irwin County,78.07,70.83
Georgia,Jackson County,79.15,73.88
Georgia,Jasper County,79.52,72.88
Georgia,Jeff Davis County,77.19,69.83
Georgia,Jefferson County,75.89,69.68
Georgia,Jenkins County,76.53,70.62
Georgia,Johnson County,77.09,72.88
Georgia,Jones County,79.49,74.74
Georgia,Lamar County,77.57,72.64
Georgia,Lanier County,75.62,70.58
Georgia,Laurens County,76.81,72.26
Georgia,Lee County,78.4,75.84
Georgia,Liberty County,78.97,73.79
Georgia,Lincoln County,77.64,71.17
Georgia,Long County,79.25,74.11
Georgia,Lowndes County,77.7,72.12
Georgia,Lumpkin County,79.24,75.3
Georgia,McDuffie County,76.09,70.28
Georgia,McIntosh County,79.25,74.11
Georgia,Macon County,77.53,72.62
Georgia,Madison County,78.57,72.36
Georgia,Marion County,77.84,72.81
Georgia,Meriwether County,78.2,70
Georgia,Miller County,76.3,72.92
Georgia,Mitchell County,77.07,71.09
Georgia,Monroe County,78.64,74.03
Georgia,Montgomery County,78.2,71.59
Georgia,Morgan County,79.26,74.8
Georgia,Murray County,77,72.24
Georgia,Muscogee County,76.51,71.61
Georgia,Newton County,78.52,73.68
Georgia,Oconee County,82.44,77.31
Georgia,Oglethorpe County,78.56,73.29
Georgia,Paulding County,80.61,75.26
Georgia,Peach County,78.16,69.17
Georgia,Pickens County,78.92,74.94
Georgia,Pierce County,77.99,70.37
Georgia,Pike County,77.57,72.64
Georgia,Polk County,76.44,71.18
Georgia,Pulaski County,77.47,72.24
Georgia,Putnam County,79.52,72.88
Georgia,Quitman County,76.96,69.97
Georgia,Rabun County,80.18,74.95
Georgia,Randolph County,76.92,71.86
Georgia,Richmond County,76.75,70.32
Georgia,Rockdale County,79.86,75.58
Georgia,Schley County,77.65,72.46
Georgia,Screven County,76.53,70.62
Georgia,Seminole County,76.3,72.92
Georgia,Spalding County,76.7,71.17
Georgia,Stephens County,77.73,72.71
Georgia,Stewart County,76.96,69.97
Georgia,Sumter County,77.65,72.46
Georgia,Talbot County,78.2,70
Georgia,Taliaferro County,77.64,71.17
Georgia,Tattnall County,76.08,71.59
Georgia,Taylor County,78.92,72.92
Georgia,Telfair County,77.1,72.07
Georgia,Terrell County,76.92,71.86
Georgia,Thomas County,77.93,71.83
Georgia,Tift County,77.9,72.06
Georgia,Toombs County,77.37,72.22
Georgia,Towns County,80.18,74.95
Georgia,Treutlen County,78.2,71.59
Georgia,Troup County,77.34,72.66
Georgia,Turner County,78.07,70.83
Georgia,Twiggs County,76.01,71.53
Georgia,Union County,80.52,75.72
Georgia,Upson County,76.09,71.39
Georgia,Walker County,77.46,72.06
Georgia,Walton County,78.58,72.93
Georgia,Ware County,76.84,71.19
Georgia,Warren County,76.53,71.6
Georgia,Washington County,76.65,71.29
Georgia,Wayne County,77.45,71.9
Georgia,Webster County,76.96,69.97
Georgia,Wheeler County,78.2,71.59
Georgia,White County,80.53,75
Georgia,Whitfield County,79.35,74.06
Georgia,Wilcox County,77.47,72.24
Georgia,Wilkes County,77.64,71.17
Georgia,Wilkinson County,77.09,72.88
Georgia,Worth County,78.74,72.91
Hawaii,Hawaii County,83.09,76.66
Hawaii,Honolulu County,83.71,78.11
Hawaii,Kalawao County,83.09,76.66
Hawaii,Kauai County,82.41,77.04
HAWAII,MAUI,83.62,77.8
Idaho,Ada County,82.43,78.87
Idaho,Adams County,81.16,77.63
Idaho,Bannock County,79.59,75.64
Idaho,Bear Lake County,80.91,76.67
Idaho,Benewah County,78.88,74.76
Idaho,Bingham County,80.94,75.59
Idaho,Blaine County,82.98,79.91
Idaho,Boise County,80.46,76.34
Idaho,Bonner County,80.74,76.72
Idaho,Bonneville County,80.7,76.47
Idaho,Boundary County,80.74,76.72
Idaho,Butte County,80.54,77.18
Idaho,Camas County,79.56,75.16
Idaho,Canyon County,80.64,76.43
Idaho,Caribou County,80.91,76.67
Idaho,Cassia County,80.51,75.62
Idaho,Clark County,80.54,77.18
Idaho,Clearwater County,80.81,75.97
Idaho,Custer County,80.46,76.34
Idaho,Elmore County,80.24,75.87
Idaho,Franklin County,80.91,76.67
Idaho,Fremont County,80.54,77.18
Idaho,Gem County,80.46,76.34
Idaho,Gooding County,79.56,75.16
Idaho,Idaho County,80.81,75.97
Idaho,Jefferson County,81.45,76.54
Idaho,Jerome County,80.19,74.08
Idaho,Kootenai County,80.86,77.36
Idaho,Latah County,81.68,78.99
Idaho,Lemhi County,80.54,77.18
Idaho,Lewis County,80.81,75.97
Idaho,Lincoln County,79.56,75.16
Idaho,Madison County,81.13,77.9
Idaho,Minidoka County,79.33,74.99
Idaho,Nez Perce County,79.88,75.5
Idaho,Oneida County,80.51,75.62
Idaho,Owyhee County,80.24,75.87
Idaho,Payette County,79.87,74.98
Idaho,Power County,80.51,75.62
Idaho,Shoshone County,78.88,74.76
Idaho,Teton County,81.13,77.9
Idaho,Twin Falls County,79.78,74.96
Idaho,Valley County,81.16,77.63
Idaho,Washington County,81.16,77.63
Illinois,Adams County,81.3,75.44
Illinois,Alexander County,77.26,71.35
Illinois,Bond County,80.13,75.58
Illinois,Boone County,80.88,77.4
Illinois,Brown County,79.15,75.66
Illinois,Bureau County,81.35,76.1
Illinois,Calhoun County,79.18,74.91
Illinois,Carroll County,80.67,75.54
Illinois,Cass County,79.89,75.18
Illinois,Champaign County,81.84,77.73
Illinois,Christian County,79.78,75.27
Illinois,Clark County,78.81,74.69
Illinois,Clay County,80.12,73.37
Illinois,Clinton County,82.2,76.43
Illinois,Coles County,80.08,73.77
Illinois,Cook County,80.98,75.81
Illinois,Crawford County,79.47,74.43
Illinois,Cumberland County,80.76,76.06
Illinois,DeKalb County,80.73,77.07
Illinois,De Witt County,79.7,75.14
Illinois,Douglas County,80.88,75.72
Illinois,DuPage County,83.36,79.63
Illinois,Edgar County,79.1,74.54
Illinois,Edwards County,80.62,74.4
Illinois,Effingham County,80.85,76.07
Illinois,Fayette County,80.53,75.53
Illinois,Ford County,79.18,74.65
Illinois,Franklin County,78.15,72.15
Illinois,Fulton County,79.3,75.32
Illinois,Gallatin County,78.71,72.85
Illinois,Greene County,79.18,74.91
Illinois,Grundy County,80.32,75.78
Illinois,Hamilton County,78.71,72.85
Illinois,Hancock County,82.18,76.68
Illinois,Hardin County,78.71,72.85
Illinois,Henderson County,82.11,76.35
Illinois,Henry County,81,76.01
Illinois,Iroquois County,79.18,74.65
Illinois,Jackson County,79.59,75.01
Illinois,Jasper County,80.76,76.06
Illinois,Jefferson County,78.88,74.02
Illinois,Jersey County,80.46,75.96
Illinois,Jo Daviess County,81.93,78.21
Illinois,Johnson County,79.25,74.03
Illinois,Kane County,82.08,78.99
Illinois,Kankakee County,80.11,74.53
Illinois,Kendall County,83.06,77.88
Illinois,Knox County,78.47,74.53
Illinois,Lake County,82.51,78.94
Illinois,La Salle County,79.47,75.19
Illinois,Lawrence County,78.6,73.38
Illinois,Lee County,79.86,76.63
Illinois,Livingston County,80.67,75.41
Illinois,Logan County,80.34,74.73
Illinois,McDonough County,80.16,76.44
Illinois,McHenry County,81.85,77.83
Illinois,McLean County,81.35,77.32
Illinois,Macon County,79.56,74.54
Illinois,Macoupin County,79.67,76.17
Illinois,Madison County,79.57,74.45
Illinois,Marion County,78.21,72.44
Illinois,Marshall County,79.47,75.47
Illinois,Mason County,79.15,75.66
Illinois,Massac County,79.25,74.03
Illinois,Menard County,79.89,75.18
Illinois,Mercer County,82.11,76.35
Illinois,Monroe County,82.15,78
Illinois,Montgomery County,79.59,73.9
Illinois,Morgan County,80.13,75.82
Illinois,Moultrie County,80.62,76.66
Illinois,Ogle County,81.56,77.39
Illinois,Peoria County,79.36,74.86
Illinois,Perry County,79.82,73.9
Illinois,Piatt County,80.62,76.66
Illinois,Pike County,80.42,76.01
Illinois,Pope County,77.51,72.01
Illinois,Pulaski County,77.26,71.35
Illinois,Putnam County,81.35,76.1
Illinois,Randolph County,80.28,75.19
Illinois,Richland County,80.12,73.37
Illinois,Rock Island County,80.35,75.98
Illinois,St. Clair County,78.97,74.05
Illinois,Saline County,77.51,72.01
Illinois,Sangamon County,80.26,74.94
Illinois,Schuyler County,79.15,75.66
Illinois,Scott County,80.42,76.01
Illinois,Shelby County,81.1,76.48
Illinois,Stark County,79.47,75.47
Illinois,Stephenson County,80.49,76.34
Illinois,Tazewell County,80.35,75.88
Illinois,Union County,79.39,74.99
Illinois,Vermilion County,78.03,73.05
Illinois,Wabash County,80.62,74.4
Illinois,Warren County,81.21,73.91
Illinois,Washington County,81.36,75.98
Illinois,Wayne County,80.49,73.81
Illinois,White County,79.34,73.64
Illinois,Whiteside County,80.74,75.89
Illinois,Will County,81.35,77.39
Illinois,Williamson County,79.02,73.51
Illinois,Winnebago County,80.24,74.68
Illinois,Woodford County,81.73,78.04
Indiana,Adams County,80.87,75.25
Indiana,Allen County,80.15,76.1
Indiana,Bartholomew County,79.23,74.58
Indiana,Benton County,80.74,74.25
Indiana,Blackford County,78.94,73.1
Indiana,Boone County,80.63,77.26
Indiana,Brown County,80.49,76.65
Indiana,Carroll County,80.41,75.65
Indiana,Cass County,79.26,74.09
Indiana,Clark County,78.48,74.06
Indiana,Clay County,79.21,74.6
Indiana,Clinton County,79.6,74.59
Indiana,Crawford County,79.39,72.77
Indiana,Daviess County,79.23,73.69
Indiana,Dearborn County,80.27,76.11
Indiana,Decatur County,80.04,74.37
Indiana,DeKalb County,79.29,74.97
Indiana,Delaware County,79.25,73.7
Indiana,Dubois County,80.29,76.92
Indiana,Elkhart County,80.92,76.44
Indiana,Fayette County,76.8,72.84
Indiana,Floyd County,78.81,74.38
Indiana,Fountain County,79.59,73.85
Indiana,Franklin County,80.36,75.18
Indiana,Fulton County,78.79,74.21
Indiana,Gibson County,79.68,75.04
Indiana,Grant County,78.68,72.31
Indiana,Greene County,79.02,73.63
Indiana,Hamilton County,83.21,79.2
Indiana,Hancock County,79.41,76.22
Indiana,Harrison County,80.15,74.4
Indiana,Hendricks County,81.72,77.55
Indiana,Henry County,78.9,73.44
Indiana,Howard County,78.72,74.16
Indiana,Huntington County,80.26,75.09
Indiana,Jackson County,78.84,73.18
Indiana,Jasper County,79.57,74.48
Indiana,Jay County,78.94,73.1
Indiana,Jefferson County,77.66,73.38
